Path20,
40.85214520099532,-73.87888329203541,
40.85190973988986,-73.87905652191239,
40.85177413164067,-73.8787203054436,
40.85184135861041,-73.87888808970962,
40.85180414506384,-73.87894518079128,
40.85179617545906,-73.8790337378026,
40.85181850649735,-73.87910396510962,
40.85184982503898,-73.87917858367072,
40.85192455766976,-73.87921246530128,
40.85196475421238,-73.87918283321895,
40.85210299936251,-73.8795066623465,
40.85190982031736,-73.8790526433421,
40.85129981488605,-73.87948436429383,
40.85124176823059,-73.87935826697763,
40.85104083796542,-73.87949553136801,
40.85115147110107,-73.87974693194089,
40.8513467066155,-73.8796099667869,
40.85129981488605,-73.87948436429383,
40.85123376709283,-73.87952913812617,
40.85120096011021,-73.87945288185519,
40.85116602045178,-73.8794768133865,
40.85114367427078,-73.87942142682414,
40.8511618011658,-73.87947373401178,
40.85112319509382,-73.87950617935304,
40.85118147857827,-73.8796512933401,
40.851225120416,-73.87962290058046,
40.85124766204836,-73.87967582289676,
40.85122720956244,-73.87962589360411,
40.85126036030488,-73.87959658176086,
40.85123376709283,-73.87952913812617,
40.85119870486275,-73.8795528104646,
40.8510262577805,-73.87966135864355,
40.8510289209238,-73.87966520574764,
40.85106039653384,-73.87973712883283,
40.85123970519341,-73.87990609282801,
40.85128616566089,-73.87996227511731,
